interface_id,level_1_module,level_2_module,level_3_module,interface_name,document_title,document_path,http_method,api_path,purpose,token_bucket_capacity,directory_chain,system_modules,remarks,is_read,is_write,has_side_effect,priority,phase_one,pagination_method,max_page_size_or_length,returns_total,supports_incremental_sync,incremental_time_fields,max_query_range,recommended_sync_strategy,filter_action,filter_reason
LX-927D66FB6D5A,产品,,,上传本地产品图片,上传本地产品图片,/docs/Product/UploadPictures.md,POST,/erp/sc/routing/storage/product/uploadPictures,支持本地产品图片上传到领星ERP系统内,1,产品 / 上传本地产品图片,产品,,否,是,是,P2,否,无,,否,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-90CFB48DDD46,产品,,,产品启用、禁用,产品启用、禁用,/docs/Product/productOperateBatch.md,POST,/basicOpen/product/productManager/product/operate/batch,产品启用、禁用,1,产品 / 产品启用、禁用,产品,,否,否,否,P3,否,无,,是,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-F6A548F96FD0,产品,,,产品管理-查询透明计划商品列表,产品管理-查询透明计划商品列表,/docs/Product/getTransparencyProductList.md,POST,/basicOpen/product/getTransparencyProductList,产品管理-查询透明计划商品列表,1,产品 / 查询透明计划商品列表,产品,,是,否,否,P0,是,offset/length,200,是,否,,,全量后分页,保留,公共 ERP 业务接口，非平台专属
LX-0CF22467375C,产品,,,创建UPC编码,创建UPC编码,/docs/Product/AddCommodityCode.md,POST,/listing/publish/api/upc/addCommodityCode,创建UPC编码,10,产品 / 创建UPC编码,产品,,否,是,是,P2,否,无,,否,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-F6890246F185,产品,,,创建产品标签,创建产品标签,/docs/Product/CreateProductTag.md,POST,/label/operation/v1/label/product/create,创建产品标签,10,产品 / 创建产品标签,产品,,否,是,是,P2,否,无,,否,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-147DA91911E3,产品,,,删除产品标签,删除产品标签,/docs/Product/DelProductTag.md,POST,/label/operation/v1/label/product/unmarkLabel,删除产品标签,10,产品 / 删除产品标签,产品,,否,是,是,P2,否,无,,否,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-BB8D0DF598AF,产品,,,批量查询本地产品详情,批量查询本地产品详情,/docs/Product/batchGetProductInfo.md,POST,/erp/sc/routing/data/local_inventory/batchGetProductInfo,批量查询本地产品详情,1,产品 / 批量查询本地产品详情,产品,,是,否,否,P0,是,无,,否,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-D2402601914F,产品,,,批量编辑本地信息,批量编辑本地信息,/docs/Product/EditOnSaleTimeAndRemark.md,POST,/basicOpen/product/editOnSaleTimeAndRemark,支持批量编辑在线商品本地信息。,1,产品 / 批量编辑本地信息,产品,,否,是,是,P2,否,无,,否,是,"onSaleTime, firstOrderTime, remark",,按店铺循环 + 按日期分段增量,保留,公共 ERP 业务接口，非平台专属
LX-75F4963569A6,产品,,,查询产品分类列表,查询产品分类列表,/docs/Product/Category.md,POST,/erp/sc/routing/data/local_inventory/category,支持查询本地产品的分类列表，对应【产品】>【产品分类】数据,1,产品 / 查询产品分类列表,产品,,是,否,否,P0,是,offset/length,1000,否,否,,,全量后分页,保留,公共 ERP 业务接口，非平台专属
LX-82FF3AF996D2,产品,,,查询产品品牌列表,查询产品品牌列表,/docs/Product/Brand.md,POST,/erp/sc/data/local_inventory/brand,支持查询本地产品品牌列表，对应系统【产品】>【品牌管理】数据,1,产品 / 查询产品品牌列表,产品,,是,否,否,P0,是,offset/length,1000,否,否,,,全量后分页,保留,公共 ERP 业务接口，非平台专属
LX-A4D3F436FF1F,产品,,,查询产品属性列表,查询产品属性列表,/docs/Product/attributeList.md,POST,/erp/sc/routing/storage/attribute/attributeList,查询产品属性列表,1,产品 / 查询产品属性列表,产品,,是,否,否,P0,是,offset/length,200,是,否,,,全量后分页,保留,公共 ERP 业务接口，非平台专属
LX-226730376E6B,产品,,,查询产品标签,查询产品标签,/docs/Product/GetProductTag.md,GET,/label/operation/v1/label/product/list,查询产品标签,10,产品 / 查询产品标签,产品,,是,否,否,P0,是,无,,是,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
LX-BD16C6D25A0D,产品,,,查询产品辅料列表,查询产品辅料列表,/docs/Product/productAuxList.md,POST,/erp/sc/routing/data/local_inventory/productAuxList,查询产品辅料列表,1,产品 / 查询产品辅料列表,产品,,是,否,否,P0,是,offset/length,1000,否,否,,,全量后分页,保留,公共 ERP 业务接口，非平台专属
LX-5AFC6979F657,产品,,,查询多属性产品列表,查询多属性产品列表,/docs/Product/spuList.md,POST,/erp/sc/routing/storage/spu/spuList,查询多属性产品列表,1,产品 / 查询多属性产品列表,产品,,是,否,否,P0,是,offset/length,200,是,否,,,全量后分页,保留,公共 ERP 业务接口，非平台专属
LX-30AF347E45FE,产品,,,查询多属性产品详情,查询多属性产品详情,/docs/Product/spuInfo.md,POST,/erp/sc/routing/storage/spu/info,查询多属性产品详情,1,产品 / 查询多属性产品详情,产品,,是,否,否,P0,是,无,,是,否,,,全量 / 人工确认,保留,公共 ERP 业务接口，非平台专属
