interface_id,verification_status,level_1_module,level_2_module,level_3_module,interface_name,http_method,api_path,purpose,token_bucket_capacity,is_read,is_write,has_side_effect,pagination_method,max_page_size_or_length,returns_total,supports_incremental_sync,incremental_time_fields,max_query_range,recommended_sync_strategy,request_param_count,request_fields,response_field_count,response_top_fields,directory_chain,system_modules,document_path,remarks,source_package,source_file,page_interface_included
LX-927D66FB6D5A,OFFICIAL_VERIFIED,产品,,,上传本地产品图片,POST,/erp/sc/routing/storage/product/uploadPictures,支持本地产品图片上传到领星ERP系统内,1,否,是,是,无,,否,否,,,全量 / 人工确认,4,"picture_list, is_primary, pic_url, sku",10,"code, data, error_details, message, request_id, response_time",产品 / 上传本地产品图片,产品,/docs/Product/UploadPictures.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-90CFB48DDD46,OFFICIAL_VERIFIED,产品,,,产品启用、禁用,POST,/basicOpen/product/productManager/product/operate/batch,产品启用、禁用,1,否,否,否,无,,是,否,,,全量 / 人工确认,2,"batch_status, product_ids",7,"code, data, error_details, message, request_id, response_time, total",产品 / 产品启用、禁用,产品,/docs/Product/productOperateBatch.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-F6A548F96FD0,OFFICIAL_VERIFIED,产品,,,产品管理-查询透明计划商品列表,POST,/basicOpen/product/getTransparencyProductList,产品管理-查询透明计划商品列表,1,是,否,否,offset/length,200,是,否,,,全量后分页,6,"isRelateMsku, length, offset, productStatus, searchField, searchValue",22,"code, data, error_details, message, request_id, response_time, total",产品 / 查询透明计划商品列表,产品,/docs/Product/getTransparencyProductList.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-0CF22467375C,OFFICIAL_VERIFIED,产品,,,创建UPC编码,POST,/listing/publish/api/upc/addCommodityCode,创建UPC编码,10,否,是,是,无,,否,否,,,全量 / 人工确认,2,"code_type, commodity_codes",4,"code, data, msg, request_id",产品 / 创建UPC编码,产品,/docs/Product/AddCommodityCode.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-F6890246F185,OFFICIAL_VERIFIED,产品,,,创建产品标签,POST,/label/operation/v1/label/product/create,创建产品标签,10,否,是,是,无,,否,否,,,全量 / 人工确认,1,label,7,"code, data, message, request_id, response_time",产品 / 创建产品标签,产品,/docs/Product/CreateProductTag.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-147DA91911E3,OFFICIAL_VERIFIED,产品,,,删除产品标签,POST,/label/operation/v1/label/product/unmarkLabel,删除产品标签,10,否,是,是,无,,否,否,,,全量 / 人工确认,4,"detail_list, label_list, sku, type",5,"code, data, message, request_id, response_time",产品 / 删除产品标签,产品,/docs/Product/DelProductTag.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-BB8D0DF598AF,OFFICIAL_VERIFIED,产品,,,批量查询本地产品详情,POST,/erp/sc/routing/data/local_inventory/batchGetProductInfo,批量查询本地产品详情,1,是,否,否,无,,否,否,,,全量 / 人工确认,3,"productIds, sku_identifiers, skus",124,"aux_relation_list, code, data, error_details, message, request_id, response_time",产品 / 批量查询本地产品详情,产品,/docs/Product/batchGetProductInfo.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-D2402601914F,OFFICIAL_VERIFIED,产品,,,批量编辑本地信息,POST,/basicOpen/product/editOnSaleTimeAndRemark,支持批量编辑在线商品本地信息。,1,否,是,是,无,,否,是,"onSaleTime, firstOrderTime, remark",,按店铺循环 + 按日期分段增量,6,"firstOrderTime, onSaleTime, remark, sidMsku, msku, storeId",6,"code, data, error_details, message, request_id, response_time",产品 / 批量编辑本地信息,产品,/docs/Product/EditOnSaleTimeAndRemark.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-75F4963569A6,OFFICIAL_VERIFIED,产品,,,查询产品分类列表,POST,/erp/sc/routing/data/local_inventory/category,支持查询本地产品的分类列表，对应【产品】>【产品分类】数据,1,是,否,否,offset/length,1000,否,否,,,全量后分页,3,"ids, length, offset",10,"code, data, error_details, message, request_id, response_time",产品 / 查询产品分类列表,产品,/docs/Product/Category.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-82FF3AF996D2,OFFICIAL_VERIFIED,产品,,,查询产品品牌列表,POST,/erp/sc/data/local_inventory/brand,支持查询本地产品品牌列表，对应系统【产品】>【品牌管理】数据,1,是,否,否,offset/length,1000,否,否,,,全量后分页,2,"length, offset",9,"code, data, error_details, message, request_id, response_time",产品 / 查询产品品牌列表,产品,/docs/Product/Brand.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-A4D3F436FF1F,OFFICIAL_VERIFIED,产品,,,查询产品属性列表,POST,/erp/sc/routing/storage/attribute/attributeList,查询产品属性列表,1,是,否,否,offset/length,200,是,否,,,全量后分页,2,"length, offset",16,"code, data, error_details, message, request_id, response_time",产品 / 查询产品属性列表,产品,/docs/Product/attributeList.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-226730376E6B,OFFICIAL_VERIFIED,产品,,,查询产品标签,GET,/label/operation/v1/label/product/list,查询产品标签,10,是,否,否,无,,是,否,,,全量 / 人工确认,0,,10,"code, data, message, request_id, response_time",产品 / 查询产品标签,产品,/docs/Product/GetProductTag.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
LX-BD16C6D25A0D,OFFICIAL_VERIFIED,产品,,,查询产品辅料列表,POST,/erp/sc/routing/data/local_inventory/productAuxList,查询产品辅料列表,1,是,否,否,offset/length,1000,否,否,,,全量后分页,2,"length, offset",43,"code, data, error_details, message, request_id, response_time",产品 / 查询产品辅料列表,产品,/docs/Product/productAuxList.md,,lingxing-walmart(2).zip,normalized/interfaces.csv,false
