mapping_status,new_system_module,new_system_page,business_data,old_db_table,old_system_source,lingxing_api_candidate,api_interface_id,api_path,can_fetch_by_new_system,short_term_strategy,long_term_strategy,priority,risk,notes
draft_candidate,工作台,今日销售,今日销售、今日利润、广告花费、退款率,fact_sales_daily; fact_profit_daily; fact_ads_product_daily,旧系统 cron 预计算 FACT 表,销售/统计相关接口待验证,待匹配,/docs/Sale/*; /docs/Statistics/*,否,短期读旧库只读结果表,长期评估新系统自拉领星日数据并重建 FACT,P0,中,默认首页数据闭环；先不要直接查 RAW。
draft_candidate,产品,产品管理,产品基础资料、成本、生命周期、业务状态,dim_product; dim_product_cost_config; dim_product_business_state,领星产品同步 + 旧系统规则计算,查询本地产品列表/详情、品牌、分类、标签,LX-3F1F087FF8A1; LX-DCB0C142100B,/erp/sc/routing/data/local_inventory/productList; 待以台账为准,部分可以,短期读旧库 DIM/BIZ 表,长期由新系统自拉产品资料并保留人工状态在新库,P0,高,人工生命周期和归档状态不能被接口同步覆盖。
draft_candidate,销售,每日销售,销售日事实、订单趋势、MSKU/店铺聚合,fact_sales_daily; raw_feishu_table(cxec21),领星同步链路预计算,销售订单/统计接口待验证,待匹配,/docs/Sale/*,部分可以,短期读旧库 FACT,长期新系统自拉领星销售明细并生成新 FACT,P0,中,页面不要实时调领星；先保证口径一致。
draft_candidate,销售,订单利润,订单利润、毛利、广告占比、亏损,fact_profit_daily; raw_feishu_table(order_profit_daily),旧系统订单利润 ETL,财务/销售/结算接口候选,待匹配,/docs/Finance/*; /docs/Sale/*,部分可以,短期读旧库利润结果表,长期在新系统复刻利润口径，写新库,P0,高,利润口径复杂，不能只靠 API 字段重算。
draft_candidate,广告,广告总览/关键词,广告花费、关键词、广告活动快照,fact_ads_product_daily; fact_ads_keyword_daily; fact_ads_keyword_snapshot_daily; raw_walmart_ads_csv,旧系统领星/CSV/广告系统同步,广告相关接口不完整，SEM 边界需确认,待匹配,已删除顶层广告模块较多,否,短期继续读旧库/CSV 结果,长期单独评估 Walmart Connect/CSV/领星可用性,P1,高,SEM、否定词、竞价倍数可能无法通过领星 API 获取。
draft_candidate,仓库,库存明细,库存、WFS、库龄、可售库存,fact_inventory_daily; fact_storage_fee_daily; event_wfs_fee_case,领星/WFS/旧系统计算,仓库/WFS 接口候选,待匹配,/docs/Warehouse/*,部分可以,短期读旧库 FACT/EVENT,长期新系统自拉库存和 WFS 数据,P0,中,库存口径需区分 WFS、在途、本地仓、可售。
draft_candidate,售后,退款/退货/Case,退款、退货、客服消息、索赔,fact_refund_daily; raw_lingxing_settlement_order; event_*,旧系统同步/人工处理,客服/售后/财务候选接口,待匹配,/docs/Service/*; /docs/Finance/*,部分可以,短期读旧库,长期按售后模块重新建模,P1,中,写入 Case/客服动作类接口暂不接。
draft_candidate,财务,结算对账/广告费用,结算订单、仓储费、广告账单、返还明细,raw_lingxing_settlement_order; fact_settlement_msku_monthly; fact_storage_fee_daily; raw_walmart_connect_invoice,旧系统财务同步/文件导入,财务接口候选,待匹配,/docs/Finance/*,部分可以,短期读旧库结果表,长期新系统自拉结算/账单并固化财务口径,P0,高,财务口径和月结历史必须严格保留。
draft_candidate,运营,运营日志,人工运营动作、系统规则信号,biz_product_operation_log; biz_product_rule_signal_daily,旧系统人工写入 + 规则信号,API 文档不能替代人工日志,无,无,否,短期继续读旧库 BIZ,长期新系统维护自己的运营日志表,P0,高,系统看不到的动作必须靠人工日志。
draft_candidate,AI中心,AI分析/任务,AI结果、任务、调用日志,ai_*; 新系统任务表待建,旧系统 AI 结果 + 新系统未来任务,不应由领星 API 提供,无,无,否,旧 AI 结果只读参考,新系统自己维护 AI 任务和结果,P2,中,不要写回旧 AI 表。
