interface_id,level_1_module,level_2_module,level_3_module,interface_name,document_title,document_path,http_method,api_path,purpose,token_bucket_capacity,directory_chain,system_modules,remarks,is_read,is_write,has_side_effect,priority,phase_one,pagination_method,max_page_size_or_length,returns_total,supports_incremental_sync,incremental_time_fields,max_query_range,recommended_sync_strategy,filter_action,filter_reason
LX-C652E548D8E6,FBA,FBA货件（STA）,,上传货件跟踪号,上传货件跟踪号,/docs/FBA/UpdateShipmentTrack.md,POST,/amzStaServer/openapi/inbound-shipment/updateShipmentTrack,上传货件跟踪号,1,FBA / FBA货件（STA） / 上传货件跟踪号,"Amazon, 仓库",,否,是,是,P2,否,无,,否,否,,,全量 / 人工确认,删除,FBA 模块为非 Walmart 目标平台模块
LX-0A097BF31BAA,FBA,FBA货件（STA）,,保存装箱信息,保存装箱信息,/docs/FBA/SavePackingInfomation.md,POST,/amzStaServer/openapi/inbound-packing/setLocalPackingInformation,保存装箱信息,1,FBA / FBA货件（STA） / 保存装箱信息,"Amazon, 仓库",,否,否,否,P3,否,其他,,否,否,,,按店铺循环 + 分页,删除,FBA 模块为非 Walmart 目标平台模块
LX-AB8C08F7A8A1,FBA,FBA货件（STA）,,修改货件实际状态,修改货件实际状态,/docs/FBA/UpdateShipmentActualStatus.md,POST,/erp/sc/routing/storage/shipment/updateShipmentActualStatus,修改货件实际状态,1,FBA / FBA货件（STA） / 修改货件实际状态,"Amazon, 仓库",,否,是,是,P2,否,无,,是,否,,,全量 / 人工确认,删除,FBA 模块为非 Walmart 目标平台模块
LX-FDE4D2E54607,FBA,FBA货件（STA）,,修改货件装箱信息,修改货件装箱信息,/docs/FBA/UpdateShipmentPacking.md,POST,/amzStaServer/openapi/inbound-packing/updateShipmentPacking,修改货件装箱信息,1,FBA / FBA货件（STA） / 修改货件装箱信息,"Amazon, 仓库",,否,是,是,P2,否,其他,,否,否,,,按店铺循环 + 分页,删除,FBA 模块为非 Walmart 目标平台模块
LX-9B1ADE54CD39,FBA,FBA货件（STA）,,创建AWD入库任务,创建AWD入库任务,/docs/Warehouse/awdInboundPlanCreatePlan.md,POST,/amzStaServer/openapi/awd/inbound-plan/createInboundPlan,创建AWD入库任务,1,FBA / FBA货件（STA） / 创建AWD入库任务,"Amazon, 仓库",,否,是,是,P2,否,其他,,否,是,awdDeliveredGoodsBOS[].lengthUnit,,按店铺循环 + 按日期分段增量,删除,FBA 模块为非 Walmart 目标平台模块
LX-69795348C946,FBA,FBA货件（STA）,,创建STA任务,创建STA任务,/docs/FBA/CreateSTATask.md,POST,/amzStaServer/openapi/inbound-plan/createInboundPlan,创建STA任务,1,FBA / FBA货件（STA） / 创建STA任务,"Amazon, 仓库",,否,是,是,P3,否,无,,否,否,,,全量 / 人工确认,删除,FBA 模块为非 Walmart 目标平台模块
LX-59FEBA8976F8,FBA,FBA货件（STA）,,取消AWD入库任务,取消AWD入库任务,/docs/Warehouse/awdInboundPlanCancel.md,POST,/amzStaServer/openapi/awd/inbound-plan/cancel,取消AWD入库任务,1,FBA / FBA货件（STA） / 取消AWD入库任务,"Amazon, 仓库",,否,是,是,P2,否,无,,否,否,,,全量 / 人工确认,删除,FBA 模块为非 Walmart 目标平台模块
LX-6C5A07CE219D,FBA,FBA货件（STA）,,取消STA任务,取消STA任务,/docs/FBA/CancelSTATask.md,POST,/amzStaServer/openapi/inbound-plan/cancelInboundPlan,取消STA任务,1,FBA / FBA货件（STA） / 取消STA任务,"Amazon, 仓库",,否,是,是,P2,否,无,,否,否,,,全量 / 人工确认,删除,FBA 模块为非 Walmart 目标平台模块
LX-BA2172D4AF5C,FBA,FBA货件（STA）,,同步STA任务到ERP,同步STA任务到ERP,/docs/FBA/SynchronizeSTATask.md,POST,/amzStaServer/openapi/inbound-plan/gatherInboundPlan,同步STA任务到ERP,1,FBA / FBA货件（STA） / 同步STA任务到ERP,"Amazon, 仓库",,否,是,是,P2,否,无,,否,否,,,全量 / 人工确认,删除,FBA 模块为非 Walmart 目标平台模块
LX-D0E5ED75F09D,FBA,FBA货件（STA）,,同步亚马逊货件到ERP,同步亚马逊货件到ERP,/docs/FBA/SyncShipment.md,POST,/erp/sc/routing/fba/shipment/syncShipment,同步亚马逊货件到ERP,1,FBA / FBA货件（STA） / 同步亚马逊货件到ERP,"Amazon, 仓库",,否,是,是,P2,否,无,,是,否,,,全量 / 人工确认,删除,FBA 模块为非 Walmart 目标平台模块
