interface_key,platform,business_domain,module,api_name,api_path,method,protocol,source_doc_path,normalized_interface_source,request_params_source,response_fields_source,verification_status,contract_status,do_not_use_status,deleted_status,priority,target_system_module,data_role,risk_code,notes
LX-678C78868D7F,Other non-Walmart,Ads,多平台 / 广告 / Lazada广告,Lazada广告-获取广告商品信息,/basicOpen/lazadaAd/item/info,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-678C78868D7F,NONE,NONE,no verification row,DELETED,yes,yes,P0,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-EAB2A6D42662,Other non-Walmart,Ads,多平台 / 广告 / Lazada广告,Lazada广告-获取店铺信息,/basicOpen/lazadaAd/seller/info,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-EAB2A6D42662,NONE,NONE,no verification row,DELETED,yes,yes,P0,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-8349E3853708,Unclear/deleted,Ads,广告 / 报告,SD商品定位报表,/pb/openapi/newad/sdTargetReports,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-8349E3853708,NONE,NONE,no verification row,DELETED,yes,yes,P0,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-5380CB6A41A8,Amazon,Ads,广告 / 报告,SD已购买商品报表,/pb/openapi/newad/sdAsinReports,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-5380CB6A41A8,NONE,NONE,no verification row,DELETED,yes,yes,P0,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-E6C0FF738B16,Unclear/deleted,Ads,广告 / 报告,SD广告商品报表,/pb/openapi/newad/sdProductAdReports,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-E6C0FF738B16,NONE,NONE,no verification row,DELETED,yes,yes,P0,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-11CEDDBE86D1,Unclear/deleted,Ads,广告 / 报告,SP商品定位报表,/pb/openapi/newad/spTargetReports,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-11CEDDBE86D1,NONE,NONE,no verification row,DELETED,yes,yes,P0,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-4699407015B7,Amazon,Ads,广告 / 报告,SP已购买商品报表,/pb/openapi/newad/asinReports,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-4699407015B7,NONE,NONE,no verification row,DELETED,yes,yes,P0,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-32025D28AF75,Unclear/deleted,Ads,广告 / 报告,SP广告商品报表,/pb/openapi/newad/spProductAdReports,POST,HTTPS,old-system/source/docs/lingxing/spProductAdReports.md,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-32025D28AF75,old-system/source/docs/lingxing/spProductAdReports.md#请求参数 (6 rows),old-system/source/docs/lingxing/spProductAdReports.md#返回结果 (47 rows),no verification row,DELETED,yes,yes,P0,TBD,reference_only,DELETED,excluded from implementation without a separate Owner re-evaluation
LX-9AC6BE805FBF,Other non-Walmart,Ads,多平台 / 广告 / Shopee广告,分页查询店铺报告列表,/basicOpen/multiplatform/ads/shopee/store/report/list,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-9AC6BE805FBF,NONE,NONE,no verification row,DELETED,yes,yes,P0,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
LX-D0FD5B698B84,Unclear/deleted,Ads,广告 / 报告,查询DSP报告列表-订单,/basicOpen/dspReport/order/list,POST,UNVERIFIED,,docs/integrations/lingxing-walmart-openapi/normalized/deleted_interfaces.csv#LX-D0FD5B698B84,NONE,NONE,no verification row,DELETED,yes,yes,P0,TBD,reference_only,DELETED,no matching repository legacy Markdown snapshot; excluded from implementation without a separate Owner re-evaluation
