name,type,required,default,example,enum,description,path,interface_id,is_pagination_param,is_time_param,business_key_type
length,int,否,20,20,,分页长度，默认20，上限200,length,LX-001128D990D5,是,否,
levels,array,否,,"[1,2,3,4]",,竞品等级： 1 A 2 B 3 C 4 D,levels,LX-001128D990D5,否,否,
offset,int,否,0,0,,分页偏移量，默认0,offset,LX-001128D990D5,是,否,
search_field,string,否,,asin,,搜索字段：asin ASIN,search_field,LX-001128D990D5,否,否,ASIN
search_value,string,否,,B0CWS8MNW1,,搜索值：多个使用英文逗号分隔，上限200,search_value,LX-001128D990D5,否,否,
update_time_end,string,否,,2024-08-05,,结束时间【更新时间】，闭区间，格式：Y-m-d,update_time_end,LX-001128D990D5,否,是,
update_time_start,string,否,,2024-08-05,,开始时间【更新时间】，闭区间，格式：Y-m-d,update_time_start,LX-001128D990D5,否,是,
end_date,string,是,,2022-08-05,,结束时间，格式：Y-m-d,end_date,LX-0070B9951962,否,是,
length,int,是,15,15,,分页长度，默认15,length,LX-0070B9951962,是,否,
offset,int,是,0,0,,分页偏移量，默认0,offset,LX-0070B9951962,是,否,
start_date,string,是,,2022-01-01,,开始时间，格式：Y-m-d,start_date,LX-0070B9951962,否,是,
sys_wid,int,否,,1,,系统仓库id，多个用英文逗号分隔,sys_wid,LX-0070B9951962,否,否,仓库
arrival_time,string,否,,,,实际到货时间,arrival_time,LX-01FE108B1B92,否,是,
estimated_time,string,否,,,,预计到货时间,estimated_time,LX-01FE108B1B92,否,是,
file_id,string,否,,,,附件id,file_id,LX-01FE108B1B92,否,否,
head_logistics_list,object,是,,,,新版头程物流信息（当logistics_list_type 为1时才有意义）,head_logistics_list,LX-01FE108B1B92,否,否,
actual_expenses_list,object,是,,,,费用明细-实际费用,head_logistics_list.actual_expenses_list,LX-01FE108B1B92,否,否,
chargeable_weight,string,是,,111.00,,计费重，已废弃，同页面功能计费重不支持编辑,head_logistics_list.actual_expenses_list.chargeable_weight,LX-01FE108B1B92,否,否,
logistics_fee,string,是,,111.00,,物流费用,head_logistics_list.actual_expenses_list.logistics_fee,LX-01FE108B1B92,否,否,
logistics_fee_currency,string,是,,CNY,,物流费用币种,head_logistics_list.actual_expenses_list.logistics_fee_currency,LX-01FE108B1B92,否,否,
other_fee_arr,array,是,,,,实际费用-其他费： [获取发货单头程物流-其他费类型](docs/FBA/GetHeadLogisticsFeeTypes)接口获取,head_logistics_list.actual_expenses_list.other_fee_arr,LX-01FE108B1B92,否,否,
fee_type_id,string,是,,241192037543649792,,其他费id(20位),head_logistics_list.actual_expenses_list.other_fee_arr[].fee_type_id,LX-01FE108B1B92,否,否,
other_amount,string,是,,111.00,,其他费金额,head_logistics_list.actual_expenses_list.other_fee_arr[].other_amount,LX-01FE108B1B92,否,否,
other_currency,string,是,,CNY,,其他费币种,head_logistics_list.actual_expenses_list.other_fee_arr[].other_currency,LX-01FE108B1B92,否,否,
price,string,是,,111.00,,单价,head_logistics_list.actual_expenses_list.price,LX-01FE108B1B92,否,否,
price_currency,string,是,,CNY,,单价币种,head_logistics_list.actual_expenses_list.price_currency,LX-01FE108B1B92,否,否,
remark,string,否,,这个一个实际费用的备注,,备注,head_logistics_list.actual_expenses_list.remark,LX-01FE108B1B92,否,否,
tax_fee,string,是,,1,,税费,head_logistics_list.actual_expenses_list.tax_fee,LX-01FE108B1B92,否,否,
tax_fee_currency,string,是,,CNY,,税费币种,head_logistics_list.actual_expenses_list.tax_fee_currency,LX-01FE108B1B92,否,否,
estimate_expenses_list,object,是,,,,费用明细-预估费用,head_logistics_list.estimate_expenses_list,LX-01FE108B1B92,否,否,
chargeable_weight,string,否,,111.00,,计费重(单位KG)，已废弃，同页面功能计费重不支持编辑,head_logistics_list.estimate_expenses_list.chargeable_weight,LX-01FE108B1B92,否,否,
logistics_fee,string,是,,1.00,,物流费用,head_logistics_list.estimate_expenses_list.logistics_fee,LX-01FE108B1B92,否,否,
