system_module,applicable_page,interface_id,interface_name,document_path,business_use,priority,phase_one_recommended,api_path,http_method,review_status,notes
销售,销售与订单页,LX-71422945ADAC,查询Listing标签列表,/docs/Sale/globalTagPageList.md,查询Listing标签列表,P0,是,/basicOpen/globalTag/listing/page/list,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
运营,运营分析页,LX-71422945ADAC,查询Listing标签列表,/docs/Sale/globalTagPageList.md,查询Listing标签列表,P0,是,/basicOpen/globalTag/listing/page/list,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
销售,销售与订单页,LX-EB69D6DC93FB,查询Listing操作日志列表,/docs/Sale/listingOperateLogPageList.md,查询Listing操作日志列表,P0,是,/basicOpen/listingManage/listingOperateLog/pageList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
运营,运营分析页,LX-EB69D6DC93FB,查询Listing操作日志列表,/docs/Sale/listingOperateLogPageList.md,查询Listing操作日志列表,P0,是,/basicOpen/listingManage/listingOperateLog/pageList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
产品,产品管理页,LX-C76D747AD0DA,刊登管理-获取指定 productType 的 JSON Schema,/docs/Sale/PublishManageGetProductType.md,刊登管理-获取指定 productType 的 JSON Schema,P0,是,/basicOpen/openapi/publish/manage/getProductType,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
销售,销售与订单页,LX-C76D747AD0DA,刊登管理-获取指定 productType 的 JSON Schema,/docs/Sale/PublishManageGetProductType.md,刊登管理-获取指定 productType 的 JSON Schema,P0,是,/basicOpen/openapi/publish/manage/getProductType,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
销售,销售与订单页,LX-F560D3DA6DF1,查询优惠券详情+listing+订单(批量),/docs/Sale/promotionCouponAllDetailBatch.md,查询优惠券详情+listing+订单(批量),P0,是,/promotionApi/open/promotion/couponAllDetailBatch,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
运营,运营分析页,LX-F560D3DA6DF1,查询优惠券详情+listing+订单(批量),/docs/Sale/promotionCouponAllDetailBatch.md,查询优惠券详情+listing+订单(批量),P0,是,/promotionApi/open/promotion/couponAllDetailBatch,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
销售,销售与订单页,LX-D92C9E37C544,查询管理促销详情+listing+订单(批量),/docs/Sale/promotionManagementAllDetailBatch.md,查询管理促销详情+listing+订单(批量),P0,是,/promotionApi/open/promotion/managementAllDetailBatch,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
运营,运营分析页,LX-D92C9E37C544,查询管理促销详情+listing+订单(批量),/docs/Sale/promotionManagementAllDetailBatch.md,查询管理促销详情+listing+订单(批量),P0,是,/promotionApi/open/promotion/managementAllDetailBatch,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
销售,销售与订单页,LX-324AF6B69AEF,查询会员折扣or价格折扣详情+listing+订单(批量),/docs/Sale/promotionPrimeDiscountAllDetailBatch.md,查询会员折扣or价格折扣详情+listing+订单(批量),P0,是,/promotionApi/open/promotion/primeDiscountAllDetailBatch,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
运营,运营分析页,LX-324AF6B69AEF,查询会员折扣or价格折扣详情+listing+订单(批量),/docs/Sale/promotionPrimeDiscountAllDetailBatch.md,查询会员折扣or价格折扣详情+listing+订单(批量),P0,是,/promotionApi/open/promotion/primeDiscountAllDetailBatch,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
销售,销售与订单页,LX-72966FDD4C29,查询秒杀详情+listing+订单(批量),/docs/Sale/promotionSecKillAllDetailBatch.md,查询秒杀详情+listing+订单(批量),P0,是,/promotionApi/open/promotion/secKillAllDetailBatch,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
运营,运营分析页,LX-72966FDD4C29,查询秒杀详情+listing+订单(批量),/docs/Sale/promotionSecKillAllDetailBatch.md,查询秒杀详情+listing+订单(批量),P0,是,/promotionApi/open/promotion/secKillAllDetailBatch,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
销售,销售与订单页,LX-D1E4B7906B42,查询商品折扣列表,/docs/Sale/promotionListingList.md,查询商品折扣列表,P0,是,/basicOpen/promotion/listingList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
运营,运营分析页,LX-D1E4B7906B42,查询商品折扣列表,/docs/Sale/promotionListingList.md,查询商品折扣列表,P0,是,/basicOpen/promotion/listingList,POST,待负责人/架构师复核,规则初筛候选；接入前必须做 PRP 和真实 API 验证。
