interface_id,priority,level_1_module,level_2_module,level_3_module,interface_name,http_method,api_path,document_path,doc_status,tested_status,tested_date,tested_by,requires_real_credential,has_sample_response,matches_old_db,usable_for_phase_1,notes
LX-927D66FB6D5A,P2,产品,,,上传本地产品图片,POST,/erp/sc/routing/storage/product/uploadPictures,/docs/Product/UploadPictures.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-90CFB48DDD46,P3,产品,,,产品启用、禁用,POST,/basicOpen/product/productManager/product/operate/batch,/docs/Product/productOperateBatch.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-F6A548F96FD0,P0,产品,,,产品管理-查询透明计划商品列表,POST,/basicOpen/product/getTransparencyProductList,/docs/Product/getTransparencyProductList.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-0CF22467375C,P2,产品,,,创建UPC编码,POST,/listing/publish/api/upc/addCommodityCode,/docs/Product/AddCommodityCode.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-F6890246F185,P2,产品,,,创建产品标签,POST,/label/operation/v1/label/product/create,/docs/Product/CreateProductTag.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-147DA91911E3,P2,产品,,,删除产品标签,POST,/label/operation/v1/label/product/unmarkLabel,/docs/Product/DelProductTag.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-BB8D0DF598AF,P0,产品,,,批量查询本地产品详情,POST,/erp/sc/routing/data/local_inventory/batchGetProductInfo,/docs/Product/batchGetProductInfo.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-D2402601914F,P2,产品,,,批量编辑本地信息,POST,/basicOpen/product/editOnSaleTimeAndRemark,/docs/Product/EditOnSaleTimeAndRemark.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-75F4963569A6,P0,产品,,,查询产品分类列表,POST,/erp/sc/routing/data/local_inventory/category,/docs/Product/Category.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
LX-82FF3AF996D2,P0,产品,,,查询产品品牌列表,POST,/erp/sc/data/local_inventory/brand,/docs/Product/Brand.md,文档已收录,未验证,,,是,未确认,未确认,待评估,默认未实测；接入前需确认账号权限、分页、频控、字段、数据范围与错误码。
