system_module,applicable_page,interface_id,interface_name,document_path,business_use,phase_one_recommended,priority,remarks
工作台,数据总览 / 待评估接口,LX-9118DDA102D0,获取 access-token和refresh-token,/docs/Authorization/GetToken.md,获取 access-token和refresh-token,否,P1,规则初判；全量接入前由业务负责人确认。
工作台,数据总览 / 待评估接口,LX-5852A627B6FE,续约接口令牌,/docs/Authorization/RefreshToken.md,给 access_token 延续有效期，每个refresh_token 只能使用一次,否,P3,规则初判；全量接入前由业务负责人确认。
工作台,数据总览 / 待评估接口,LX-1BE23A99A7E9,批量修改店铺名称,/docs/BasicData/SellerBatchRename.md,批量修改店铺名称,否,P2,规则初判；全量接入前由业务负责人确认。
工作台,数据总览 / 待评估接口,LX-04CE920F9507,查询ERP用户信息列表,/docs/BasicData/AccoutLists.md,查询得到企业开启的全部ERP账号数据,否,P1,规则初判；全量接入前由业务负责人确认。
工作台,数据总览 / 待评估接口,LX-99132180876E,修改我的汇率,/docs/BasicData/ExchangeRateUpdate.md,修改我的汇率,否,P2,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-320D9D20B37C,下载附件,/docs/BasicData/AttachmentDownload.md,支持下载产品附件,否,P1,规则初判；全量接入前由业务负责人确认。
工作台,数据总览 / 待评估接口,LX-A07E627F7B70,定制化附件下载接口,/docs/BasicData/CustomAttachmentDownload.md,定制化附件下载接口,否,P1,规则初判；全量接入前由业务负责人确认。
工作台,数据总览 / 待评估接口,LX-CDEC1BCCBD6A,获取国家下的州、省编码,/docs/BasicData/StateList.md,获取国家下的州、省编码,否,P1,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-04A6C56A7729,批量添加/编辑Listing配对,/docs/Sale/Productlink.md,支持推送Listing与本地仓库SKU的配对关系到领星ERP，实现SKU配对,否,P2,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-04A6C56A7729,批量添加/编辑Listing配对,/docs/Sale/Productlink.md,支持推送Listing与本地仓库SKU的配对关系到领星ERP，实现SKU配对,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-04A6C56A7729,批量添加/编辑Listing配对,/docs/Sale/Productlink.md,支持推送Listing与本地仓库SKU的配对关系到领星ERP，实现SKU配对,否,P2,规则初判；全量接入前由业务负责人确认。
运营,运营分析页,LX-04A6C56A7729,批量添加/编辑Listing配对,/docs/Sale/Productlink.md,支持推送Listing与本地仓库SKU的配对关系到领星ERP，实现SKU配对,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-A96852EA632C,批量修改Listing价格,/docs/Sale/pricingSubmit.md,支持批量修改Listing价格，价格幅度不超50%,否,P2,规则初判；全量接入前由业务负责人确认。
运营,运营分析页,LX-A96852EA632C,批量修改Listing价格,/docs/Sale/pricingSubmit.md,支持批量修改Listing价格，价格幅度不超50%,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-80C0100C2D4F,查询Listing标记标签列表,/docs/Sale/queryListingRelationTagList.md,查询Listing标记标签列表,否,P2,规则初判；全量接入前由业务负责人确认。
运营,运营分析页,LX-80C0100C2D4F,查询Listing标记标签列表,/docs/Sale/queryListingRelationTagList.md,查询Listing标记标签列表,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-71422945ADAC,查询Listing标签列表,/docs/Sale/globalTagPageList.md,查询Listing标签列表,是,P0,规则初判；全量接入前由业务负责人确认。
运营,运营分析页,LX-71422945ADAC,查询Listing标签列表,/docs/Sale/globalTagPageList.md,查询Listing标签列表,是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-1C246F17173F,添加Listing标签,/docs/Sale/globalTagAddTag.md,添加Listing标签,否,P2,规则初判；全量接入前由业务负责人确认。
运营,运营分析页,LX-1C246F17173F,添加Listing标签,/docs/Sale/globalTagAddTag.md,添加Listing标签,否,P2,规则初判；全量接入前由业务负责人确认。
